,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,100,ZA,1578258000,75,-34.42,19.24,66.09,11.03
1,lebu,0,ET,1578258000,71,8.96,38.73,55.35,2.39
2,jamestown,89,AU,1578258000,87,-33.21,138.60,56.25,5.93
3,provideniya,100,RU,1578258000,82,64.42,-173.23,-10.43,9.08
4,arman,72,RU,1578258000,67,59.70,150.17,17.53,7.99
5,yulara,100,AU,1578258000,75,-25.24,130.99,66.60,17.29
6,ulkan,2,RU,1578258000,94,57.24,107.32,4.46,6.24
7,roma,0,IT,1578258000,56,41.89,12.48,42.67,8.39
8,kruisfontein,100,ZA,1578258000,83,-34.00,24.73,65.17,5.23
9,rikitea,67,PF,1578258000,78,-23.12,-134.97,76.03,15.41
10,hithadhoo,100,MV,1578258000,78,-0.60,73.08,81.48,11.25
11,gilbues,16,BR,1578258000,83,-9.83,-45.34,74.61,3.71
12,luga,79,RU,1578258000,78,58.74,29.85,27.21,3.71
13,bethel,85,US,1578258000,93,60.79,-161.76,-20.58,9.91
14,zaterechnyy,98,RU,1578258000,94,44.80,45.21,36.79,4.25
15,korsakovo,100,RU,1578258000,89,53.27,37.36,27.82,7.4
16,lakatoro,36,VU,1578258000,81,-16.11,167.42,81.18,16.96
17,cidreira,0,BR,1578258000,82,-30.17,-50.22,74.61,19.3
18,ancud,68,CL,1578258000,65,-41.87,-73.83,58.57,14.18
19,popondetta,100,PG,1578258000,92,-8.77,148.24,67.39,3.89
20,tasiilaq,100,GL,1578258000,93,65.61,-37.64,24.06,30.44
21,beloha,0,MG,1578258000,79,-25.17,45.06,73.90,14.29
22,acari,100,BR,1578258000,34,-6.44,-36.64,89.92,9.8
23,namibe,79,AO,1578258000,90,-15.19,12.15,73.89,11.88
24,atuona,0,PF,1578258000,67,-9.80,-139.03,80.56,4.74
25,mataura,87,NZ,1578258000,97,-46.19,168.86,45.77,14.14
26,barrow,100,AR,1578258000,76,-38.31,-60.23,73.53,3.74
27,hilo,56,US,1578258000,80,19.71,-155.08,75.85,11.63
28,grants,5,US,1578258000,33,35.15,-107.85,54.55,9.95
29,bredasdorp,100,ZA,1578258000,74,-34.53,20.04,64.53,4.03
30,ushuaia,99,AR,1578258000,88,-54.81,-68.31,43.50,5.77
31,praia,72,BR,1578258000,92,-20.25,-43.81,72.50,4.29
32,codrington,100,AU,1578258000,94,-28.95,153.24,71.73,1.32
33,jalu,0,LY,1578258000,48,29.03,21.55,50.79,12.62
34,tezu,73,IN,1578258000,94,27.93,96.16,48.65,2.57
35,faanui,37,PF,1578258000,75,-16.48,-151.75,81.57,9.42
36,kapaa,61,US,1578258000,78,22.08,-159.32,80.37,11.95
37,husavik,37,CA,1578258000,80,50.56,-96.99,26.35,12.82
38,geraldton,100,CA,1578258000,95,49.72,-86.95,20.62,8.28
39,okhotsk,0,RU,1578258000,76,59.36,143.24,3.43,12.03
40,bluff,0,AU,1578258000,77,-23.58,149.07,74.39,10.36
41,harper,0,US,1578258000,24,30.30,-99.24,74.34,12.86
42,vaini,0,IN,1578258000,79,15.34,74.49,66.11,6.89
43,honiara,71,SB,1578258000,82,-9.43,159.96,81.68,1.63
44,muswellbrook,100,AU,1578258000,73,-32.27,150.89,68.67,8.66
45,vanavara,100,RU,1578258000,94,60.35,102.28,11.68,8.68
46,matara,100,BI,1578258000,91,-3.48,29.48,57.96,1.5
47,maryborough,100,AU,1578258000,83,-25.54,152.70,75.29,3.56
48,carnarvon,24,ZA,1578258000,29,-30.97,22.13,66.76,10.56
49,bilma,93,NE,1578258000,29,18.69,12.92,54.57,5.93
50,serra,91,BR,1578258000,96,-20.13,-40.31,73.49,3.44
51,billings,91,US,1578258000,35,45.79,-108.50,40.21,13.09
52,yar-sale,0,RU,1578258000,84,66.83,70.83,15.31,17.47
53,baykit,100,RU,1578258000,96,61.68,96.39,9.34,4.05
54,tuktoyaktuk,0,CA,1578258000,98,69.44,-133.03,-23.39,4.18
55,constitucion,8,MX,1578258000,15,23.99,-104.67,67.95,2.68
56,adrar,0,DZ,1578258000,19,27.87,-0.29,51.31,13.6
57,avarua,100,CK,1578258000,82,-21.21,-159.78,80.71,6.15
58,tiksi,0,RU,1578258000,86,71.64,128.87,-14.80,11.92
59,tuban,100,ID,1578258000,88,-6.90,112.07,75.99,8.7
60,hobart,3,AU,1578258000,78,-42.88,147.33,53.80,13.35
61,salalah,73,OM,1578258000,79,17.01,54.10,73.76,1.79
62,jurm,97,AF,1578258000,54,36.86,70.83,18.82,2.93
63,severo-kurilsk,100,RU,1578258000,93,50.68,156.12,19.35,14.85
64,kingman,100,US,1578258000,30,35.19,-114.05,59.90,6.4
65,kaseda,0,JP,1578258000,82,31.42,130.32,46.71,4.45
66,albany,95,US,1578258000,68,42.65,-73.75,28.27,12.66
67,sertaozinho,27,BR,1578258000,90,-21.14,-47.99,80.15,4.29
68,omboue,100,GA,1578258000,87,-1.57,9.26,77.52,2.04
69,butaritari,100,KI,1578258000,76,3.07,172.79,85.28,15.26
70,castro,95,CL,1578258000,77,-42.48,-73.76,54.91,9.4
71,lompoc,100,US,1578258000,52,34.64,-120.46,66.29,22.64
72,airai,100,TL,1578258000,84,-8.93,125.41,69.42,5.26
73,kavieng,56,PG,1578258000,73,-2.57,150.80,84.27,7.54
74,guerande,41,FR,1578258000,92,48.47,-4.17,39.78,7.83
75,kondinskoye,99,RU,1578258000,95,59.65,67.41,18.10,9.15
76,khatanga,100,RU,1578258000,88,71.98,102.47,-8.95,6.8
77,kodiak,0,US,1578258000,49,39.95,-94.76,48.76,16.93
78,nacala,100,MZ,1578258000,93,-14.56,40.69,75.94,1.12
79,portland,0,US,1578258000,65,43.66,-70.25,33.89,28.5
80,mujiayingzi,100,CN,1578258000,90,42.12,118.78,24.19,2.24
81,shalakusha,7,RU,1578258000,91,62.23,40.26,13.96,6.06
82,chuy,0,UY,1578258000,63,-33.69,-53.46,75.31,13.76
83,labuhan,100,ID,1578258000,95,-2.54,115.51,72.39,2.39
84,salym,99,RU,1578258000,93,60.06,71.48,23.07,8.63
85,busselton,0,AU,1578258000,74,-33.64,115.35,59.11,9.35
86,nikolskoye,81,RU,1578258000,75,59.70,30.79,25.93,3.47
87,rudnyy,21,KZ,1578258000,95,52.96,63.12,22.48,9.1
88,hasaki,0,JP,1578258000,50,35.73,140.83,48.09,12.55
89,pevek,0,RU,1578258000,82,69.70,170.27,-6.29,5.59
90,victoria,87,BN,1578258000,79,5.28,115.24,80.94,11.95
91,torbay,100,CA,1578258000,98,47.66,-52.73,30.85,30.56
92,ulaangom,0,MN,1578258000,84,49.98,92.07,-15.00,2.08
93,hamilton,90,CA,1578258000,80,43.26,-79.87,32.99,5.95
94,labytnangi,0,RU,1578258000,84,66.66,66.39,15.33,17.25
95,saint-philippe,7,CA,1578258000,85,45.36,-73.48,21.15,6.98
96,petropavlovsk-kamchatskiy,100,RU,1578258000,91,53.05,158.65,25.88,15.73
97,udachnyy,67,RU,1578258000,95,66.42,112.40,-9.83,8.84
98,chokurdakh,84,RU,1578258000,99,70.62,147.90,-21.48,3.83
99,vynohradivka,100,UA,1578258000,88,50.01,27.94,30.07,11.92
100,muros,1,ES,1578258000,90,42.77,-9.06,41.50,1.9
101,qaanaaq,0,GL,1578258000,47,77.48,-69.36,-25.65,4.12
102,sitka,2,US,1578258000,32,37.17,-99.65,54.14,8.25
103,kibaya,100,RW,1578258000,92,-2.20,30.56,62.46,1.66
104,dikson,95,RU,1578258000,91,73.51,80.55,17.56,20.65
105,bushehr,0,IR,1578258000,62,28.97,50.84,59.68,10.58
106,altay,0,CN,1578258000,44,47.83,88.13,12.79,6.31
107,guaymas,64,MX,1578258000,32,27.92,-110.90,80.87,6.76
108,niquero,0,CU,1578258000,58,20.04,-77.58,83.50,9.28
109,fukue,4,JP,1578258000,71,35.03,136.69,35.92,3.91
110,saskylakh,0,RU,1578258000,94,71.97,114.09,-19.21,13.09
111,longyearbyen,66,NO,1578258000,61,78.22,15.63,-2.42,4.14
112,ketchikan,100,US,1578258000,83,55.34,-131.65,38.37,4.29
113,doka,0,SD,1578258000,34,13.52,35.76,68.56,11.03
114,zyryanskoye,98,RU,1578258000,93,56.83,86.62,20.34,7.87
115,sayyan,0,YE,1578258000,67,15.17,44.32,57.15,1.23
116,havelock,0,US,1578258000,51,34.88,-76.90,51.22,8.1
117,thompson,100,CA,1578258000,87,55.74,-97.86,7.57,9.75
118,wasilla,0,US,1578258000,78,61.58,-149.44,-5.21,1.45
